startphrase,completion
"His temper was a marshmallow.That is to say,", he was a very sweet person
"His temper was a marshmallow.That is to say,", he was not a man who would explode at the drop of a hat
"His temper was a marshmallow.That is to say,", he was a marshmallow
"His temper was a marshmallow.That is to say,", he was a marshmallow
"He has the belly of an unblown balloon.That is to say,", he has the belly of a balloon that has not yet been blown up
"He has the belly of an unblown balloon.That is to say,", he is a balloon that has not been inflated
"He has the belly of an unblown balloon.That is to say,", the body of a man who has been blown up
"He has the belly of an unblown balloon.That is to say,", he is a balloon with a belly
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it is a very sharp razor
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it is not very sharp
"The razor has the cutting power of a cartoon cat's claws.That is to say,", a razor that can cut through a steel ball with the force of a cat's claws
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it cuts well
"The sadness of her death was a planet.That is to say,", the sadness of her death was a planet
"The sadness of her death was a planet.That is to say,", it was a planet with no name
"The sadness of her death was a planet.That is to say,", it was the most terrible thing that had ever happened to her
"The sadness of her death was a planet.That is to say,", the sadness of her death was a planet
"The villain is as beautiful as the Joker.That is to say,", he is as beautiful as the Joker
"The villain is as beautiful as the Joker.That is to say,", the villain is a beautiful woman
"The villain is as beautiful as the Joker.That is to say,", he's a villain
"The villain is as beautiful as the Joker.That is to say,", he is a beautiful man
"The child has the energy of a sloth.That is to say,", he is lazy
"The child has the energy of a sloth.That is to say,", the child is lazy
"The child has the energy of a sloth.That is to say,", the child is lazy and sluggish
"The child has the energy of a sloth.That is to say,", he is lazy and slow
"The fortress appears as a pebble.That is to say,", the fortress is a pebble
"The fortress appears as a pebble.That is to say,", the fortress is a stone
"The fortress appears as a pebble.That is to say,", the fortress is a pebble
"The fortress appears as a pebble.That is to say,", the fortress is a pebble
"The girl moved as fast as a cheetah.That is to say,", she was fast
"The girl moved as fast as a cheetah.That is to say,", she moved as fast as a girl
"The girl moved as fast as a cheetah.That is to say,", she was very fast
"The girl moved as fast as a cheetah.That is to say,", she moved very fast
"The event planning was met with clear skies.That is to say,", the weather was good
"The event planning was met with clear skies.That is to say,", the weather was perfect
"The event planning was met with clear skies.That is to say,", the event planning was met with clear skies
"The event planning was met with clear skies.That is to say,", the weather was not great
"School is a prison.That is to say,"," it is a place of learning, a place of instruction, a place of discipline, a place of learning and a place of discipline"
"School is a prison.That is to say,"," it is a place where the majority of people in the world are confined, and it is a place where most of the people who are confined are confined"
"School is a prison.That is to say,", it is a place where the words of the law are enforced
"School is a prison.That is to say,", the school is a place where the children are locked up
