startphrase,ending1,ending2,correct_label
The girl was as down-to-earth as eggs and potatoes,The girl was not down-to-earth at all.,The girl was very down-to-earth.,1
World peace is a family dinner where no one fights,World peace is an unattainable ideal,"World peace is a good, if unexpected, thing",1
Her greeting had the warmth of a snuffed out candle.,Her greeting was affectionate and genuine.,Her greeting was indifferent and fake.,1
He's as rich as MC Hammer in the '90s,He has a lot of money,He does not have a lot of money,1
The conversation has me sweating like a snowman in the summer,The conversation is intense,The conversation is boring,0
The football player's effort was a tortoise,The football player put forth a ton of effort.,The football player put forth no effort.,1
Her waist has the width of a toothpick,Her waist is really skinny.,Her waist is really wide.,0
The soccer player passed the ball to his teammate like a magician pulling a rabbit out of a hat.,The pass was surprising,The pass was very fast and direct,0
The girl's dress pattern was as uniform as a potluck,The girl's dress pattern was highly varied.,The girl's dress pattern was highly uniform.,0
The illusion has the convincibility of walking into a house and not seeing a ghost,The illusion is quite convincing,The illusion is not convincing at all,0
The dog has the snores of a mouse hiding from a house cat,The dog snores loudly,The dog hardly makes a sound,1
He has the attitude of the Grinch at Halloween,He has a bad attitude,He's got a good attitude,1
The groom was feeling like a raindrop on a grave,The groom was happy.,The groom was sad.,1
When the morning is tough sip your hot coffee and watch the news,do not let one bad thing ruin your whole day,look at the world others are having a much rougher day.,1
The music was as loud as a bumblebee,The music was loud,The music was quiet and soft,1
The dog barked like a cricket.,The dog barked loudly.,The dog barked quietly.,1
The pills have the chalkiness of a warm cup of milk,The pills are very chalky,The pills aren't at all chalky,1
The jumper leaped as high as a grasshopper,The jumper jumped high.,The jumper didn't jump high.,0
The movie was as scary as a lamb,The movie was scary,The movie was not scary.,1
Love is an economic exchange,It's purely finance,it's god like,0
Life is a God's will,It is a learning experience,It is predisposed,1
The girl has the gracefulness of butterfly,The girl doesn't have any grace.,The girl is very graceful.,1
The gambling at the casino had all the excitement of A fast-paced football game,The gambling at the casino was boring,The gambling was exciting and entertaining,1
The girl treats her friends like Prada,The girl treasures her friends.,The girl treats her friends poorly.,0
His temper was a tempest.,He had a terrible temper.,He didn't really have a temper.,0
The comedian's jokes were about as awful as a winning lotto ticket,the jokes were great,the jokes were bad,0
The dress was as pretty as a picture,the dress was good looking,the dress was ugly,0
His mother gave him the respect of a king,His mothe respected him,His mother disrespected him,0
The mother's soup was a grand elixir,The mother's soup was Incredibly good,The mother's soup was very nasty,0
The bowl is a durable baby turtle,The bowl is very durable,The bowl is fragile,1
She had the anger of a nap,She was an angry person.,She was an evenhanded person.,1
The list was long like a ribbon.,The list was long.,The list was short.,0
That storage closet has the space of a mousehole filled with rats,There's a lot of room,There's barely any room at all,1
Raising a teenager is playing craps against a table with rigged dice,Raising a teenager is fraught with impossible risks,Raising a teenager is a pleasant surprise,0
Owning a cat is an extended visit by your favorite aunt,Owning a cat is not pleasant.,Owning a cat is quite sweet.,1
My professor is a great story teller.,My professor's lecture is so boring that it puts me to sleep.,My professor's lecture is so interesting that makes me keep wanting to listen to her.,1
The hyperlink has the functionality of a brand new car,The hyperlink functions perfectly,The hyperlink doesn't work,0
The classroom sounded like a dog pound,The classroom was noisy.,The classroom was quiet.,0
Her dress was the colors of antique book pages,Her dress was dully colored.,Her dress was brightly colored.,0
he is as energetic as a new battery,he is excited,he is tired,0
Her voice had the melody of a dying crow,Her voice was beautiful,Her voice was ugly,1
The girl's temperament is a balloon,The girl is easily provoked.,The girl has a steady temperament.,0
The roach was as frantic as a doctor during a code blue ,it was going crazy,it was calm,0
The girl lies as much as Jesus,The girl lies all the time.,The girl never lies.,1
The sculpture has the fragility of a cannon made of gladd,It's likely to break,It's practically unbreakable,0
The football player was a dancer.,The football player was clumsy.,The football player was careful.,1
He was as energized as a light bulb.,He was very energized.,He wasn't energized at all.,0
The contract was as long as the Bible,The contract was very lengthy.,The contract was very short.,0
The student was as ashamed as a dog that found a bone,he was proud,he was embarrassed,0
So many responsibilities had Joe about as hungry as a whale,Joe was very hungry because of his responsibilities,Joe was not very hungry because he had so much to do,0
The spa has the charm of a stink bug.,The spa lacks amenities.,The spa is enjoyable.,0
The football player has the agility of a mountain goat.,The football player is a klutz.,The football player is lithe.,1
The cake is as moist as the surface of Mercury,It's very moist,It's incredibly dry,1
Winning this video game is as easy as giving candy to a child.,Winning this game is so easy,Winning this game is close to impossible,0
The Christmas tree is as bright as nightlight in the middle of the day,It's very bright.,It's quite dim.,1
The weightlifter has the strength of a dung beetle.,The weightlifter is weak.,The weightlifter is powerful.,1
The math test was as straightforward as assembling a PBJ sandwich,The math test was straightforward.,The math test was complicated.,0
The pot roast was as tender as a boulder encased in concrete.,The pot roast is very tender.,The pot roast in not tender at all.,1
It was built like a castle,It was durable.,It was flimsy.,0
He has the belly of an unblown balloon,His belly is large,He has a tiny belly,1
He awoke from sleeping like a man falling off a cliff,He awoke suddenly,He awoke slowly,0
Her eyes reflected a sparkle like that of a roach,Her eyes were bright and shiny,Her eyes were blank,1
The new linebacker is as solid as water,The linebacker is tough and can hold his ground.,The linebacker is weak and people can run right through him.,1
That light is as bright as the sun,the light is shiny,the light is dim,0
The bath was as hot as the ocean,The bath was very hot,The bath was not hot,1
The cougar had the dangerousness of a goldfish in a kiddie pool,The cougar is quite dangerous,The cougar isn't too dangerous,1
He had all the style of a secondhand leisure suit.,He is very stylish and hip.,He's very OUT of style.,1
The poem was as romantic as a love-letter.,The poem was very sweet and romantic.,The poem wasn't romantic at all.,0
His style is so solar flare,His style is so hot right now.,His style is so old-fashioned.,0
This football game is like a blue starfish.,This football game is full of action.,This football game is moving slowly.,1
He feels the love of the devil to everything good,He feels a lot of love,He feels little love,1
The rat has the speed of a laxative traveling through a stomach,The rat is very fast,The rat is very slow,0
Love is snow on a Christmas morning,Love is awesome,Love is terrible,0
Her morals were soggy cereal,Her morals were flexible,Her morals were inflexible,0
This party has the electricity of a burned out light bulb,The party is popping,The party is boring.,1
He entered the room with all the subtlety of an elephant,He entered quietly,He entered loudly,1
The cop got the suspect to confess after applying the pressure of a feather,The cop used a lot of pressure.,The cop used little pressure.,1
As poor as a Kardashian,You have no money,You are rich,1
The sisters were ribbons and bows.,The sisters got along together.,The sisters did not mix well with each other.,0
His love was a many forked road.,His love was spread to many.,His love was straight and true.,0
My life is a circus and I am the ringleader.,I am a freak,I control my life,1
The girl craves as much attention as the red carpet,The girl wants all the attention.,The girl doesn't want any attention.,0
The doctor has the warmth of a cozy blanket.,The doctor is cold and unfeeling.,The doctor is comforting.,1
Her devotion to her family was as strong as an ox.,She is strongly devoted to her family.,She is only weakly devoted to her family.,0
His skill in writing was as sharp as a knife.,Her writing skill is excellent.,Her writing skill is poor.,0
The chemicals had the stability of melted ice cream,The chemicals were stable.,The chemicals were highly unstable.,1
The victory was like getting wet in a thunderstorm.,The victory was too easy.,The victory was very hard-fought.,0
He is as tall as a tree,He is tall,He is short,0
That tree is a tall as Push pin,It is short,It is tall,0
The tactic is as complex as Calculus,"The tactic is simple, easy to figure out",The tactic is complex and involves many steps,1
The job is as easy as tying your shoes,The job is quite easy and almost everyone can do it,The job is difficult,0
The job is as easy as learning nuclear fission,The job is quite easy and almost everyone can do it,The job is difficult,1
