x_1	x_2	y_1	y_2	L(x_1, y_1)	L(x_1, y_2)	L(x_2, y_1)	L(x_2, y_2)
He should be back before the sun implodes	He should be back before more sunlight reaches us	He will be back quickly	He will be back slowly	3.694976806640625	3.89955735206604	3.7817742824554443	4.012137413024902
Her commitment to the cause was as sturdy as plywood	Her commitment to the cause was as sturdy as oak	She was committed	She was uncommitted	3.972766160964966	4.120280742645264	4.035868167877197	4.189949035644531
The crowd's reaction to the performance fizzled like fireworks	The crowd's reaction to the performance fizzled like flat soda	The crowd was enthusiastic	The crowd was unenthusiastic	3.6836462020874023	2.9950132369995117	3.770444631576538	3.0491178035736084
The pilot flew like a ballet dancer	The pilot flew like a modern dancer	The pilot flew in a restrained way	The pilot flew in a creative way	3.9792022705078125	3.9892079830169678	4.436753273010254	4.463736057281494
He had the air of a church leader	He had the air of a cult leader	People were intimidated by him	People were not intimidated by him	3.2383270263671875	3.2709970474243164	2.9466781616210938	3.085253953933716
The venture was blown out to sea	The venture was charting new waters	The venture was innovative	The venture was unsuccessful	5.3960394859313965	4.913210868835449	4.596682071685791	4.7452168464660645
She was as bright as diamond	She was as bright as obsidian	She was intelligent	She was unintelligent	3.429003953933716	3.8332290649414062	3.621066093444824	3.8102493286132812
Vanity is the quicksand of reason	Vanity is the tailwind of reason	Vanity destroys reason	Vanity motivates reason	4.204200744628906	4.39779806137085	4.635135173797607	4.644106864929199
The movie has the depth of a wading pool	The movie has the depth of the ocean	The movie is profound	The movie is vapid	3.8297297954559326	3.766263008117676	4.180461406707764	4.348521709442139
Even a monkey falls from a tree sometimes	Even a monkey writes a sonnet sometimes	Experts can fail sometimes	Novices can succeed sometimes	5.053573131561279	4.642154693603516	5.891219139099121	5.303244113922119
Time is a crystal	Time is a river	You can't change the future	You can change the future	3.566918134689331	3.994939088821411	3.0048322677612305	3.5011074542999268
The bar is a giant's step away	The bar is a cat's jump away	The bar is far away	The bar is close by	4.26960563659668	4.404190540313721	3.871281147003174	3.935274124145508
He had cotton in his ears throughout the lecture	He had funnels in his ears throughout the lecture	He did pay attention	He did not pay attention	3.891278028488159	3.4978487491607666	4.4463043212890625	4.073694229125977
The conference had a tsunami of submissions	The conference had a rivulet of submissions	There were few submissions	There were many submissions	4.740328311920166	4.412886142730713	4.559710502624512	4.3295769691467285
She's about as sharp as a knife	She's about as sharp as a spoon	She is smart	She is dimwitted	3.1982014179229736	3.1856541633605957	3.436788320541382	3.3123393058776855
The software is a fortress	The software is a ball of yarn	The software is well protected	the software is messy	3.9267966747283936	5.309864521026611	4.057347297668457	4.479269504547119
Her gaze is a disco ball	Her gaze is a laser	Her gaze is focused	Her gaze is diffuse	4.546148777008057	4.846531867980957	4.119739055633545	4.772714138031006
The foundation of the argument was puff pastry	The foundation of the argument was titanium	The argument was sound	The argument was unsound	4.66583776473999	4.485951900482178	4.598473072052002	4.465156078338623
this dinner has the flavor of a rubber duck	this dinner has the flavor of the ring of fire	The dinner taste bland	The dinner taste spicy	5.2688117027282715	5.437912940979004	5.1496500968933105	5.131441116333008
the excitement of that game was like a snow cone.	the excitement of that game was like a wildfire.	The game was boring.	The game was really exciting.	4.880026817321777	4.66112756729126	4.854682922363281	4.538252353668213
his talent shined as bright as a star	his talent shined as bright as a dungeon	He is clearly very talented.	He is not very talented.	4.116899490356445	4.237034797668457	4.957828998565674	4.977655410766602
the meteor was as bright as new york city	the meteor was as bright as coal	The meteor was very bright	The meteor was not bright at all	3.809803009033203	3.75040864944458	4.059238910675049	3.8841331005096436
the fresh actors career is taking off like a plane	the fresh actors career is sinking like a ship	The actors career is going successfully	The actors career is doing terribly	5.085038661956787	5.094358921051025	5.346981525421143	5.125378608703613
the solution came at me like a cheetah	the solution came at me like a turtle	The solution was thought of fast.	The solution was though of slow.	4.724627494812012	4.882293701171875	5.430115699768066	5.566447734832764
his speech was as fiery as a dying star	his speech was as fiery as a burning meteor	His speech was extremely dull, mild, and not persuasive	His conversation was full of energy and very persuasive	4.134349822998047	4.087514877319336	4.104180335998535	4.070891857147217
the car has the speed of a cheetah	the car has the speed of a goldfish	The car is very fast	The car is slow.	3.1182045936584473	3.89066219329834	3.567711114883423	4.310072422027588
he moves at the speed of a caterpillar pupa	he moves at the speed of a fire crackle	He moves very slow	He moves very fast	4.009609222412109	3.7763919830322266	4.1689252853393555	3.8847265243530273
