HITId,AssignmentId,startphrase,ending1,ending2,labels,valid,qid
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,39LOEL67OTFE3M68J8N0PJGMZC883C,Her word had the strength of titanium.,Her promises can be believed.,Her promises cannot be trusted.,0,1,10
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,39LOEL67OTFE3M68J8N0PJGMZC883C,Her word had the strength of a wine glass.,Her promises can be believed.,Her promises cannot be trusted.,1,1,10
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,39LOEL67OTFE3M68J8N0PJGMZC883C,His kisses have the passion of lovers meeting after a long separation.,His kisses are demonstrative and intense.,His kiss is unemotional.,0,1,11
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,39LOEL67OTFE3M68J8N0PJGMZC883C,His kisses have the passion of a couple in a loveless marriage.,His kisses are demonstrative and intense.,His kiss is unemotional.,1,1,11
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3JAOYWH7VJEVXVF7U6XEL15EJ4Q9LP,This winter is as cold as my mother-in-law towards me,It's very cold,It's pretty warm,0,1,14
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3JAOYWH7VJEVXVF7U6XEL15EJ4Q9LP,This winter is as cold as Death Valley at noon,It's very cold,It's pretty warm,1,1,14
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3R8YZBNQ9IS2A97R7E7QORD2YKO7QZ,The dog was as grumpy as an old man,he was mean,he was nice,0,1,22
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3R8YZBNQ9IS2A97R7E7QORD2YKO7QZ,The dog was as grumpy as a kindergarten teacher,he was mean,he was nice,1,1,22
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3EICBYG6456R03YA35VS7CTUL0CJC2,The voyage was as long as a lifetime,The voyage was very long,The voyage as short.,0,1,24
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3EICBYG6456R03YA35VS7CTUL0CJC2,The voyage was as long as the blink of an eye,The voyage was very long,The voyage as short.,1,1,24
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3EICBYG6456R03YA35VS7CTUL0CJC2,He had all the wealth of a tycoon,He was rich.,He was poor.,0,1,26
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3EICBYG6456R03YA35VS7CTUL0CJC2,He had all the wealth of a hobo,He was rich.,He was poor.,1,1,26
3B623HUYJ40F0JTTJLJZ97SAT21S8K,30MVJZJNHNNP25R7RLL15MSMFFL9JN,It smells like a freshly baked cookies on Christmas morning,It smells great,It smells awful,0,1,31
3B623HUYJ40F0JTTJLJZ97SAT21S8K,30MVJZJNHNNP25R7RLL15MSMFFL9JN,It smells like a cesspool sitting in the hot sun,It smells great,It smells awful,1,1,31
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3NG53N1RLWTLABBVH6K72MJN47DP8G,The conversation is a bank vault,The conversation is worthwhile.,The conversation is meaningless.,0,1,33
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3NG53N1RLWTLABBVH6K72MJN47DP8G,The conversation is a 25 cent off coupon,The conversation is worthwhile.,The conversation is meaningless.,1,1,33
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3NG53N1RLWTLABBVH6K72MJN47DP8G,The motivational push was a bulldozer,The motivational push was very motivating.,The motivational push didn't work well.,0,1,34
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3NG53N1RLWTLABBVH6K72MJN47DP8G,The motivational push was a light breeze,The motivational push was very motivating.,The motivational push didn't work well.,1,1,34
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3M68NM076IHJIA8M1JRYN3NBZ1SR6J,Money is a helpful stranger,Money is good,Money is bad,0,1,36
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3M68NM076IHJIA8M1JRYN3NBZ1SR6J,Money is a murderer,Money is good,Money is bad,1,1,36
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3M68NM076IHJIA8M1JRYN3NBZ1SR6J,The conversation was the OJ Simpson trial,The conversation was long,The conversation was short,0,1,37
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3M68NM076IHJIA8M1JRYN3NBZ1SR6J,The conversation was a cigarette break,The conversation was long,The conversation was short,1,1,37
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3M68NM076IHJIA8M1JRYN3NBZ1SR6J,The seas on the voyage were glass,The seas were calm,The seas were rough,0,1,38
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3M68NM076IHJIA8M1JRYN3NBZ1SR6J,The seas on the voyage were a rock quarry,The seas were calm,The seas were rough,1,1,38
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3X73LLYYQ2OE010B4V1LBA7R7CXHNO,The student was as helpful as medicine,he was a big help,he was not needed,0,1,40
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3X73LLYYQ2OE010B4V1LBA7R7CXHNO,The student was as helpful as a punch in the face,he was a big help,he was not needed,1,1,40
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3D3VGR7TA1PKLRL4IHT0G0BRPA6R3T,Their relationship has the heat of Miami in August,Their relationship is passionate,Their relationship is lacking passion.,0,1,42
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3D3VGR7TA1PKLRL4IHT0G0BRPA6R3T,Their relationship has the heat of an igloo.,Their relationship is passionate,Their relationship is lacking passion.,1,1,42
