startphrase,ending1,ending2,label
this dinner has the flavor of a rubber duck,The dinner taste bland,The dinner taste spicy,0
this dinner has the flavor of the ring of fire,The dinner taste bland,The dinner taste spicy,1
the excitement of that game was like a snow cone.,The game was boring.,The game was really exciting.,0
the excitement of that game was like a wildfire.,The game was boring.,The game was really exciting.,1
his talent shined as bright as a star,He is clearly very talented.,He is not very talented.,0
his talent shined as bright as a dungeon,He is clearly very talented.,He is not very talented.,1
the meteor was as bright as new york city,The meteor was very bright,The meteor was not bright at all,0
the meteor was as bright as coal,The meteor was very bright,The meteor was not bright at all,1
the fresh actors career is taking off like a plane,The actors career is going successfully,The actors career is doing terribly,0
the fresh actors career is sinking like a ship,The actors career is going successfully,The actors career is doing terribly,1
the solution came at me like a cheetah,The solution was thought of fast.,The solution was though of slow.,0
the solution came at me like a turtle,The solution was thought of fast.,The solution was though of slow.,1
his speech was as fiery as a dying star,"His speech was extremely dull, mild, and not persuasive",His conversation was full of energy and very persuasive,0
his speech was as fiery as a burning meteor,"His speech was extremely dull, mild, and not persuasive",His conversation was full of energy and very persuasive,1
the car has the speed of a cheetah,The car is very fast,The car is slow.,0
the car has the speed of a goldfish,The car is very fast,The car is slow.,1
he moves at the speed of a caterpillar pupa,He moves very slow,He moves very fast,0
he moves at the speed of a fire crackle,He moves very slow,He moves very fast,1
