x_1	x_2	y_1	y_2	L(x_1, y_1)	L(x_1, y_2)	L(x_2, y_1)	L(x_2, y_2)
He should be back before the sun implodes	He should be back before more sunlight reaches us	He will be back quickly	He will be back slowly	3.535883903503418	3.7329299449920654	3.7085530757904053	3.9067647457122803
Her commitment to the cause was as sturdy as plywood	Her commitment to the cause was as sturdy as oak	She was committed	She was uncommitted	3.8047540187835693	3.994292736053467	3.8894238471984863	4.090664863586426
The crowd's reaction to the performance fizzled like fireworks	The crowd's reaction to the performance fizzled like flat soda	The crowd was enthusiastic	The crowd was unenthusiastic	3.5866875648498535	2.9234135150909424	3.7468173503875732	3.0287561416625977
The pilot flew like a ballet dancer	The pilot flew like a modern dancer	The pilot flew in a restrained way	The pilot flew in a creative way	4.124108791351318	3.994250774383545	4.641066551208496	4.497866630554199
He had the air of a church leader	He had the air of a cult leader	People were intimidated by him	People were not intimidated by him	3.3274590969085693	3.3530571460723877	2.916684627532959	3.068044424057007
The venture was blown out to sea	The venture was charting new waters	The venture was innovative	The venture was unsuccessful	5.027585029602051	4.476889610290527	4.443679332733154	4.590925693511963
She was as bright as diamond	She was as bright as obsidian	She was intelligent	She was unintelligent	3.5009007453918457	4.022288799285889	3.7621939182281494	4.005227565765381
Vanity is the quicksand of reason	Vanity is the tailwind of reason	Vanity destroys reason	Vanity motivates reason	3.8054215908050537	4.251290798187256	4.555242538452148	4.769781112670898
The movie has the depth of a wading pool	The movie has the depth of the ocean	The movie is profound	The movie is vapid	3.7295596599578857	3.644941568374634	4.056307315826416	4.218964099884033
Even a monkey falls from a tree sometimes	Even a monkey writes a sonnet sometimes	Experts can fail sometimes	Novices can succeed sometimes	4.402751445770264	4.271019458770752	5.123833656311035	4.711212158203125
Time is a crystal	Time is a river	You can't change the future	You can change the future	3.5230252742767334	3.9382224082946777	3.0536234378814697	3.6809611320495605
The bar is a giant's step away	The bar is a cat's jump away	The bar is far away	The bar is close by	4.080859661102295	4.304371356964111	3.845752477645874	3.875262975692749
He had cotton in his ears throughout the lecture	He had funnels in his ears throughout the lecture	He did pay attention	He did not pay attention	3.659515857696533	3.2337963581085205	4.497445583343506	4.142613887786865
The conference had a tsunami of submissions	The conference had a rivulet of submissions	There were few submissions	There were many submissions	4.764200687408447	4.4805402755737305	4.770425319671631	4.6389055252075195
She's about as sharp as a knife	She's about as sharp as a spoon	She is smart	She is dimwitted	3.0590248107910156	3.1439476013183594	3.1129400730133057	3.15198016166687
The software is a fortress	The software is a ball of yarn	The software is well protected	the software is messy	3.9517247676849365	5.251884460449219	4.187321662902832	4.2842254638671875
Her gaze is a disco ball	Her gaze is a laser	Her gaze is focused	Her gaze is diffuse	4.356373310089111	4.471864700317383	3.628514528274536	4.408968448638916
The foundation of the argument was puff pastry	The foundation of the argument was titanium	The argument was sound	The argument was unsound	4.5211005210876465	4.3455986976623535	4.457653522491455	4.311614036560059
this dinner has the flavor of a rubber duck	this dinner has the flavor of the ring of fire	The dinner taste bland	The dinner taste spicy	4.982005596160889	5.047374248504639	4.930628776550293	4.87755012512207
the excitement of that game was like a snow cone.	the excitement of that game was like a wildfire.	The game was boring.	The game was really exciting.	4.850045680999756	4.586552619934082	4.639103889465332	4.305461406707764
his talent shined as bright as a star	his talent shined as bright as a dungeon	He is clearly very talented.	He is not very talented.	3.8032820224761963	4.012086391448975	4.624914646148682	4.814914226531982
the meteor was as bright as new york city	the meteor was as bright as coal	The meteor was very bright	The meteor was not bright at all	3.858689785003662	3.6793136596679688	4.134174823760986	3.8639352321624756
the fresh actors career is taking off like a plane	the fresh actors career is sinking like a ship	The actors career is going successfully	The actors career is doing terribly	5.022593975067139	5.037132740020752	5.306142330169678	5.135644435882568
the solution came at me like a cheetah	the solution came at me like a turtle	The solution was thought of fast.	The solution was though of slow.	4.491356372833252	4.657629013061523	5.187314987182617	5.322481155395508
his speech was as fiery as a dying star	his speech was as fiery as a burning meteor	His speech was extremely dull, mild, and not persuasive	His conversation was full of energy and very persuasive	4.0497050285339355	3.6803946495056152	4.007376670837402	3.6577999591827393
the car has the speed of a cheetah	the car has the speed of a goldfish	The car is very fast	The car is slow.	2.975094795227051	3.7366223335266113	3.5477447509765625	4.215718746185303
he moves at the speed of a caterpillar pupa	he moves at the speed of a fire crackle	He moves very slow	He moves very fast	4.007375717163086	3.881471633911133	4.095270156860352	3.881891965866089
